x,y,t,c,intensity
22.4856,263.9538,1,1,137.6458
72.3850,264.3529,1,1,184.0196
410.4692,265.1135,1,1,131.9283
141.2567,264.5372,1,1,611.2510
50.0644,266.4359,1,1,337.8047
291.6284,267.2080,1,1,115.3496
363.9032,266.1198,1,1,210.9135
392.2922,268.0134,1,1,288.3698
32.8053,268.5950,1,1,350.8004
80.0719,269.0326,1,1,212.7294
121.0525,269.8525,1,1,227.2625
395.3991,273.0229,1,1,295.2841
95.5569,272.5573,1,1,300.0453
132.3870,271.7122,1,1,372.5850
373.3424,272.0056,1,1,307.9673
400.2139,274.1533,1,1,274.3553
150.4398,273.3456,1,1,269.9983
415.4124,272.5809,1,1,264.1389
60.4832,275.0251,1,1,213.5923
63.7442,273.6547,1,1,257.1094
405.2122,273.3486,1,1,228.7253
229.5918,275.1455,1,1,124.7325
69.3275,275.9099,1,1,194.6555
365.6440,275.9358,1,1,180.4569
396.0794,276.5110,1,1,394.6464
97.2123,277.1605,1,1,428.0146
340.9200,278.1037,1,1,130.4619
259.8877,280.3705,1,1,338.1059
4.7181,281.5747,1,1,191.1111
133.8666,280.9020,1,1,661.8901
290.7312,280.9884,1,1,184.6176
390.3960,281.0220,1,1,391.8829
281.7003,282.5265,1,1,233.1275
351.6741,282.7834,1,1,185.1060
417.9281,285.8117,1,1,279.5837
371.7647,287.2018,1,1,355.1505
383.7555,286.6475,1,1,364.5515
146.1635,286.8806,1,1,138.1961
401.4102,288.2690,1,1,626.8642
74.3334,288.3583,1,1,153.9831
303.2426,289.1686,1,1,188.9352
412.8355,288.2918,1,1,552.0922
0.9452,289.0018,1,1,262.1564
100.6004,289.2033,1,1,246.5512
381.2032,291.9764,1,1,620.5881
390.4773,291.1765,1,1,411.8981
166.4137,293.4721,1,1,163.8119
337.8765,295.2879,1,1,295.2797
349.3429,293.6460,1,1,355.0258
361.0825,294.7309,1,1,419.5639
378.1613,293.4011,1,1,556.9892
398.6625,293.7604,1,1,416.3732
321.0879,296.9574,1,1,222.4335
415.8554,296.0968,1,1,416.3331
334.5716,297.2972,1,1,365.2755
363.4695,296.0495,1,1,404.3659
402.9363,296.7761,1,1,631.1109
160.0767,299.1741,1,1,132.8554
311.6471,300.1826,1,1,163.3304
421.1339,298.3109,1,1,313.8066
345.3147,300.3884,1,1,365.8684
362.6957,300.8125,1,1,461.3286
412.9308,300.3135,1,1,415.9612
416.6943,300.3550,1,1,400.8356
185.5051,302.1723,1,1,522.1002
299.9099,302.3645,1,1,197.0532
389.5432,302.2201,1,1,415.7453
109.1355,303.4842,1,1,122.1850
320.7757,303.0499,1,1,337.4264
210.2206,303.3963,1,1,127.2108
332.4905,303.7366,1,1,302.5304
349.2404,304.2668,1,1,493.5543
383.5282,304.9328,1,1,625.6299
407.6974,305.0641,1,1,262.7618
400.5376,307.5299,1,1,316.4921
423.7739,308.1583,1,1,249.1064
309.3870,309.8249,1,1,294.8929
374.5275,309.6337,1,1,263.9503
194.2629,310.1427,1,1,124.2838
256.4365,310.0745,1,1,276.4224
302.4356,309.6416,1,1,208.0306
392.7070,308.7941,1,1,500.0863
414.7759,312.3755,1,1,332.9482
320.5360,311.5875,1,1,436.0452
332.3969,311.7988,1,1,543.4993
383.9431,311.8041,1,1,308.5066
181.2473,313.5486,1,1,203.1626
201.3149,313.0288,1,1,124.2241
346.6358,313.7220,1,1,255.3118
155.4667,314.4778,1,1,101.4861
352.0598,315.1564,1,1,439.2934
372.7578,315.7705,1,1,378.9035
415.0852,315.9363,1,1,385.2315
311.4677,317.5505,1,1,223.6542
288.2604,319.1435,1,1,180.6345
298.0246,319.8430,1,1,277.3872
323.7692,319.9530,1,1,462.9256
352.1381,319.5847,1,1,556.3578
391.4090,322.6139,1,1,175.3381
341.0314,321.8604,1,1,264.9350
384.0923,322.6781,1,1,241.7216
315.7407,324.1419,1,1,451.3800
334.5732,322.6500,1,1,253.5503
404.4424,323.8131,1,1,378.5769
351.5957,323.7332,1,1,552.3173
368.5114,325.5085,1,1,464.1154
396.6006,325.4628,1,1,374.2479
142.3897,326.9388,1,1,118.2927
328.3224,327.1880,1,1,299.4023
417.3251,325.8053,1,1,369.2408
386.6800,330.3851,1,1,347.5670
346.3887,330.9987,1,1,299.4729
357.2523,331.2091,1,1,375.1227
242.4474,332.5509,1,1,215.0475
356.0731,332.4762,1,1,374.5875
390.3467,332.6788,1,1,452.4533
366.9908,334.0053,1,1,338.2531
397.7050,333.6876,1,1,446.9042
376.5381,336.3918,1,1,161.1528
351.1170,337.4920,1,1,172.9893
289.5041,338.3254,1,1,144.2527
301.0730,337.9255,1,1,300.8810
308.2018,337.7068,1,1,155.7585
408.0880,337.8080,1,1,215.0270
152.3545,339.5978,1,1,126.2942
324.6777,339.2674,1,1,154.7260
37.4522,340.8404,1,1,203.0820
176.9357,340.8240,1,1,175.4953
365.1782,341.2744,1,1,267.3484
415.0909,340.9017,1,1,182.9609
52.2444,343.3446,1,1,218.0491
55.2865,342.1192,1,1,220.3708
354.8648,341.4521,1,1,433.2942
379.3246,342.2844,1,1,449.8112
401.2081,343.4100,1,1,276.5654
272.2831,345.0255,1,1,122.2475
24.4076,346.5014,1,1,483.3698
48.1641,345.7949,1,1,357.1512
379.6476,346.2763,1,1,403.1285
5.0347,348.8028,1,1,403.7241
65.9832,348.1585,1,1,205.9471
364.6824,347.4522,1,1,150.2095
346.1808,349.0589,1,1,190.3497
12.5932,349.8238,1,1,259.6990
419.6602,351.0280,1,1,295.7007
24.8395,352.2468,1,1,277.3872
28.2231,350.9237,1,1,199.8533
395.1786,353.0265,1,1,185.7415
34.6825,355.2764,1,1,698.6101
422.0955,353.9811,1,1,267.3542
411.8346,355.1985,1,1,209.6841
8.9026,357.1964,1,1,528.1818
361.6609,362.3269,1,1,109.8363
12.3981,365.8332,1,1,388.0156
390.1880,365.6300,1,1,154.2529
25.2370,365.5538,1,1,504.4969
424.2917,365.6819,1,1,198.1805
3.4478,366.5227,1,1,570.0583
112.3027,368.6786,1,1,318.8887
12.8542,374.9793,1,1,619.5601
380.0813,375.3164,1,1,217.4223
16.9492,375.6111,1,1,637.3292
356.8798,376.6129,1,1,193.5146
7.4027,378.9718,1,1,665.6475
152.3967,379.0847,1,1,135.4977
383.2574,378.5771,1,1,296.3383
12.3037,380.9421,1,1,720.3132
420.7510,380.6237,1,1,228.0813
19.4737,380.9193,1,1,329.5771
402.7786,383.3994,1,1,181.3713
4.0370,385.0799,1,1,349.5128
384.5057,387.3360,1,1,154.6604
10.9340,387.1636,1,1,521.5412
89.3292,387.8601,1,1,389.7483
5.7372,387.1131,1,1,305.8433
391.3572,389.5888,1,1,172.6653
404.7049,392.3603,1,1,187.2854
25.8015,394.2186,1,1,152.5178
66.5578,393.6688,1,1,203.9816
383.1121,394.0915,1,1,111.4304
20.8688,395.7914,1,1,113.9611
36.4114,395.5240,1,1,174.5615
111.1398,396.9862,1,1,147.9789
420.7609,397.7222,1,1,309.1975
3.1069,397.9284,1,1,343.7102
341.3641,397.8866,1,1,147.8609
424.2983,397.2094,1,1,346.7924
414.2125,400.8726,1,1,273.2524
392.3412,404.4570,1,1,116.4005
32.7218,407.2293,1,1,211.6734
18.6428,408.4030,1,1,132.0537
409.6883,413.5536,1,1,150.2355
31.1254,418.3292,1,1,183.0451
49.7084,419.8805,1,1,177.1732
11.8894,420.9445,1,1,209.3689
146.2771,421.6052,1,1,134.9766
341.5918,420.5968,1,1,169.1071
414.8908,422.5889,1,1,353.9099
420.3819,424.8899,1,1,487.1465
